updated mean std
7901 170606.93333333332 10252.094332162358
7950 172203.73333333334 12922.533309258248
8001 172606.13333333333 16643.922638074902
8051 173565.4 9493.693701961669
8101 173661.2 12896.543734401606
8151 179867.73333333334 11241.90514973132
8201 208244.06666666668 41917.99304271245
8251 178253.13333333333 14371.832218459675
8301 177427.53333333333 11280.531493782652
8351 178686.06666666668 14995.566835864822
8401 176073.66666666666 13409.598157870189
8451 183315.13333333333 10769.572847404654
8501 193741.33333333334 27335.080792921675
8551 176201 6843.881189305768
8601 185719.2 13580.844820064274
8651 181950.2 9674.309981940141
8701 192357.2 16947.690348835145
8751 186588.33333333334 12481.623247354044
8801 191227.06666666668 21217.82764710427
8851 197057.26666666666 15161.462912998279
8901 185659.06666666668 6816.133258347842
8951 194594.2 18497.3178783664
9001 189647.2 10056.593135517282
9051 189242.13333333333 10722.796773644874
9101 233206.6 49210.22194192313
9151 201809.2 11804.377917817894
9201 193799.6 11006.510908245778
9251 205072.13333333333 21136.308166649058
9301 198756.06666666668 13296.905266347587
9351 201508.2 12070.742750966074
9401 204787.8 13512.340168404091
9451 210331.46666666667 15928.799837052662
9501 207816.8 14789.222004329144
9551 212802.26666666666 13792.166764588597
9601 205591.13333333333 10389.552796706676
9651 208951.53333333333 13372.057956134584
9701 207578.6 12275.559396893757
9751 211673.66666666666 14260.61350090599
9801 206265.66666666666 12743.613023349733
9851 213506.53333333333 14145.782796139476
9901 209965.46666666667 13940.717910096628
9951 217355.86666666667 17702.528124034212
